Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
arabella-solitaire-ring,,,,,,,,,Ring Size,K,KJ-RIN-002-K,shopify,8,deny,manual,950.00,,TRUE,TRUE,,,,,,,active
arabella-solitaire-ring,,,,,,,,,Ring Size,L,KJ-RIN-002-L,shopify,6,deny,manual,950.00,,TRUE,TRUE,,,,,,,active
freya-silver-hoop-earrings,Freya Silver Hoop Earrings,"<p>Lightweight silver hoops for everyday wear. Demo product for development purposes.</p>",Karim Jewellers,Earrings,"silver,new-arrivals",TRUE,Size,Small,,,KJ-EAR-003,shopify,28,deny,manual,65.00,,TRUE,TRUE,,,,FALSE,Freya Silver Hoop Earrings | Karim Jewellers,Silver hoop earrings. Demo product.,active
freya-silver-hoop-earrings,,,,,,,,,Size,Large,KJ-EAR-003-L,shopify,20,deny,manual,75.00,,TRUE,TRUE,,,,,,,active
matilda-pearl-necklace,Matilda Pearl Necklace,"<p>A classic single-strand pearl necklace. Demo product for development purposes.</p>",Karim Jewellers,Necklaces,"silver,gifts",TRUE,Length,42cm,,,KJ-NEC-003,shopify,16,deny,manual,250.00,,TRUE,TRUE,,,,FALSE,Matilda Pearl Necklace | Karim Jewellers,Pearl necklace. Demo product.,active
grace-eternity-ring,Grace Eternity Ring,"<p>A full eternity band, a meaningful choice for a wedding or anniversary. Demo product for development purposes.</p>",Karim Jewellers,Rings,"wedding,silver,bestseller",TRUE,Ring Size,K,,,KJ-RIN-003,shopify,10,deny,manual,595.00,,TRUE,TRUE,,,,FALSE,Grace Eternity Ring | Karim Jewellers,Eternity ring. Demo product.,active
grace-eternity-ring,,,,,,,,,Ring Size,L,KJ-RIN-003-L,shopify,10,deny,manual,595.00,,TRUE,TRUE,,,,,,,active
willow-gold-huggie-earrings,Willow Gold Huggie Earrings,"<p>Compact gold huggie hoops for everyday layering. Demo product for development purposes.</p>",Karim Jewellers,Earrings,"gold,new-arrivals",TRUE,Size,One Size,,,KJ-EAR-004,shopify,26,deny,manual,65.00,,TRUE,TRUE,,,,FALSE,Willow Gold Huggie Earrings | Karim Jewellers,Gold huggie earrings. Demo product.,active
poppy-charm-bracelet,Poppy Charm Bracelet,"<p>A delicate charm bracelet, a thoughtful gift for any occasion. Demo product for development purposes.</p>",Karim Jewellers,Bracelets,"gold,gifts,new-arrivals",TRUE,Size,Adjustable,,,KJ-BRA-003,shopify,24,deny,manual,95.00,,TRUE,TRUE,,,,FALSE,Poppy Charm Bracelet | Karim Jewellers,Charm bracelet. Demo product.,active
imogen-sapphire-ring,Imogen Sapphire Ring,"<p>A sapphire and diamond halo ring, a striking alternative to a classic solitaire. Demo product for development purposes.</p>",Karim Jewellers,Rings,"wedding,gold",TRUE,Ring Size,K,,,KJ-RIN-004,shopify,7,deny,manual,875.00,,TRUE,TRUE,,,,FALSE,Imogen Sapphire Ring | Karim Jewellers,Sapphire halo ring. Demo product.,active
imogen-sapphire-ring,,,,,,,,,Ring Size,L,KJ-RIN-004-L,shopify,7,deny,manual,875.00,,TRUE,TRUE,,,,,,,active
rosalind-gold-signet-ring,Rosalind Gold Signet Ring,"<p>A modern take on the classic signet ring. Demo product for development purposes.</p>",Karim Jewellers,Rings,"gold,bestseller",TRUE,Ring Size,K,,,KJ-RIN-005,shopify,14,deny,manual,225.00,,TRUE,TRUE,,,,FALSE,Rosalind Gold Signet Ring | Karim Jewellers,Gold signet ring. Demo product.,active
rosalind-gold-signet-ring,,,,,,,,,Ring Size,L,KJ-RIN-005-L,shopify,14,deny,manual,225.00,,TRUE,TRUE,,,,,,,active
delphine-drop-necklace,Delphine Drop Necklace,"<p>A refined drop pendant on a fine chain. Demo product for development purposes.</p>",Karim Jewellers,Necklaces,"silver,new-arrivals,gifts",TRUE,Length,45cm,,,KJ-NEC-004,shopify,19,deny,manual,110.00,,TRUE,TRUE,,,,FALSE,Delphine Drop Necklace | Karim Jewellers,Drop pendant necklace. Demo product.,active
harriet-stacking-rings-set,Harriet Stacking Rings Set,"<p>A set of three fine stacking rings, designed to be worn together or separately. Demo product for development purposes.</p>",Karim Jewellers,Rings,"gold,gifts,bestseller",TRUE,Ring Size,K,,,KJ-RIN-006,shopify,17,deny,manual,145.00,,TRUE,TRUE,,,,FALSE,Harriet Stacking Rings Set | Karim Jewellers,Stacking rings set. Demo product.,active
harriet-stacking-rings-set,,,,,,,,,Ring Size,L,KJ-RIN-006-L,shopify,17,deny,manual,145.00,,TRUE,TRUE,,,,,,,active
